energy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
0.05,244.5182,243.2138,239.3503,233.0730,224.6124,214.2687,202.3917,189.3591,175.5552,161.3506,147.0860,133.0604,119.5226,106.6680,94.63924,83.52916,73.38651,64.22276,56.01942,48.73529,42.31318,36.68576,31.78043,27.52323,23.84172,20.66706,17.93529,15.58813,13.57325,11.84424,10.36033,9.086003,7.990527,7.047429,6.233999,5.530812,4.921287,4.391296,3.928819,3.523640,3.167093,2.851840,2.571679,2.321391,2.096599,1.893653,1.709528,1.541737,1.388255,1.247451,1.118029,9.989713E-1,8.894925E-1,7.889962E-1,6.970361E-1,6.132805E-1,5.374826E-1,4.694527E-1,4.090351E-1,3.560877E-1,3.104658E-1,2.720080E-1,2.405262E-1,2.157977E-1,1.975601E-1,1.855091E-1,1.792981E-1,1.785395E-1,1.828089E-1,1.916492E-1,2.045774E-1,2.210909E-1,2.406757E-1,2.628143E-1,2.869935E-1,3.127133E-1,3.394937E-1,3.668831E-1,3.944637E-1,4.218584E-1,4.487349E-1,4.748098E-1,4.998511E-1,5.236800E-1,5.461710E-1,5.672512E-1,5.868986E-1,6.051388E-1,6.220412E-1,6.377144E-1,6.523003E-1,6.659682E-1,6.789077E-1,6.913223E-1,7.034214E-1,7.154139E-1,7.275004E-1,7.398667E-1,7.526772E-1,7.660691E-1,7.801470E-1,7.949787E-1,8.105912E-1,8.269687E-1,8.440502E-1,8.617295E-1,8.798554E-1,8.982330E-1,9.166268E-1,9.347635E-1,9.523372E-1,9.690141E-1,9.844390E-1,9.982421E-1,1.010046,1.019473,1.026154,1.029737,1.029894,1.026328,1.018783,1.007051,9.909766E-1,9.704635E-1,9.454811E-1,9.160669E-1,8.823303E-1,8.444543E-1,8.026963E-1,7.573880E-1,7.089333E-1,6.578060E-1,6.045455E-1,5.497514E-1,4.940776E-1,4.382250E-1,3.829329E-1,3.289700E-1,2.771252E-1,2.281963E-1,1.829799E-1,1.422604E-1,1.067984E-1,7.731967E-2,5.450469E-2,3.897761E-2,3.129647E-2,3.194389E-2,4.131850E-2,5.972748E-2,8.738008E-2,1.243824E-1,1.707333E-1,2.263220E-1,2.909266E-1,3.642146E-1,4.457443E-1,5.349683E-1,6.312376E-1,7.338082E-1,8.418477E-1,9.544443E-1,1.070616,1.189323,1.309476,1.429950,1.549600,1.667271,1.781809,1.892083,1.996990,2.095473,2.186531,2.269234,2.342732,2.406264,2.459174,2.500910,2.531037,2.549240,2.555329
0.1,302.1699,299.2714,290.7780,277.2693,259.6262,238.9222,216.3016,192.8661,169.5853,147.2399,126.3982,107.4209,90.48648,75.62741,62.76946,51.76884,42.44321,34.59555,28.03088,22.56672,18.03879,14.30309,11.23581,8.731768,6.702225,5.072514,3.779736,2.770702,2.000174,1.429423,1.025067,7.581592E-1,6.034834E-1,5.390065E-1,5.454597E-1,6.060124E-1,7.060149E-1,8.327910E-1,9.754638E-1,1.124807,1.273109,1.414052,1.542593,1.654850,1.747997,1.820152,1.870276,1.898070,1.903876,1.888579,1.853520,1.800401,1.731209,1.648136,1.553502,1.449699,1.339122,1.224121,1.106954,9.897445E-1,8.744511E-1,7.628397E-1,6.564629E-1,5.566462E-1,4.644791E-1,3.808123E-1,3.062596E-1,2.412041E-1,1.858095E-1,1.400334E-1,1.036452E-1,7.624541E-2,5.728703E-2,4.609898E-2,4.190970E-2,4.387137E-2,5.108394E-2,6.261863E-2,7.754039E-2,9.492897E-2,1.138983E-1,1.336140E-1,1.533085E-1,1.722936E-1,1.899713E-1,2.058415E-1,2.195050E-1,2.306710E-1,2.391520E-1,2.448640E-1,2.478217E-1,2.481319E-1,2.459851E-1,2.416456E-1,2.354406E-1,2.277478E-1,2.189828E-1,2.095856E-1,2.000076E-1,1.906982E-1,1.820925E-1,1.745987E-1,1.685875E-1,1.643825E-1,1.622509E-1,1.623974E-1,1.649580E-1,1.699971E-1,1.775051E-1,1.873983E-1,1.995210E-1,2.136482E-1,2.294913E-1,2.467040E-1,2.648906E-1,2.836152E-1,3.024113E-1,3.207932E-1,3.382674E-1,3.543446E-1,3.685516E-1,3.804433E-1,3.896143E-1,3.957097E-1,3.984357E-1,3.975684E-1,3.929622E-1,3.845562E-1,3.723796E-1,3.565551E-1,3.373009E-1,3.149307E-1,2.898524E-1,2.625642E-1,2.336497E-1,2.037711E-1,1.736606E-1,1.441105E-1,1.159620E-1,9.009279E-2,6.740373E-2,4.880469E-2,3.519990E-2,2.747299E-2,2.647195E-2,3.299432E-2,4.777272E-2,7.146110E-2,1.046218E-1,1.477138E-1,2.010822E-1,2.649491E-1,3.394065E-1,4.244103E-1,5.197770E-1,6.251822E-1,7.401580E-1,8.641014E-1,9.962726E-1,1.135804,1.281709,1.432891,1.588154,1.746219,1.905737,2.065305,2.223481,2.378805,2.529814,2.675063,2.813139,2.942685,3.062410,3.171111,3.267688,3.351155,3.420656,3.475473,3.515040,3.538945,3.546942
0.15,301.9233,297.6539,285.2874,266.0613,241.7742,214.4714,186.1340,158.4393,132.6265,109.4682,89.31937,72.21173,57.95881,46.25153,36.73215,29.04441,22.86287,17.90625,13.94050,10.77557,8.259480,6.271441,4.715406,3.514486,2.606424,1.940104,1.472913,1.168818,9.969851E-1,9.307817E-1,9.470810E-1,1.025756,1.149312,1.302615,1.472671,1.648450,1.820729,1.981950,2.126090,2.248531,2.345936,2.416124,2.457952,2.471196,2.456431,2.414924,2.348518,2.259530,2.150649,2.024841,1.885258,1.735154,1.577809,1.416460,1.254236,1.094105,9.388252E-1,7.909032E-1,6.525651E-1,5.257297E-1,4.119906E-1,3.126063E-1,2.284962E-1,1.602426E-1,1.080991E-1,7.200431E-2,5.160008E-2,4.625397E-2,5.508547E-2,7.699496E-2,1.106951E-1,1.547436E-1,2.075779E-1,2.675485E-1,3.329544E-1,4.020755E-1,4.732051E-1,5.446806E-1,6.149112E-1,6.824039E-1,7.457857E-1,8.038237E-1,8.554408E-1,8.997287E-1,9.359569E-1,9.635787E-1,9.822318E-1,9.917414E-1,9.921079E-1,9.835062E-1,9.662733E-1,9.408942E-1,9.079877E-1,8.682895E-1,8.226338E-1,7.719338E-1,7.171614E-1,6.593267E-1,5.994576E-1,5.385794E-1,4.776962E-1,4.177717E-1,3.597130E-1,3.043550E-1,2.524470E-1,2.046415E-1,1.614849E-1,1.234107E-1,9.073471E-2,6.365337E-2,4.224365E-2,2.646573E-2,1.616771E-2,1.109246E-2,1.088629E-2,1.510947E-2,2.324803E-2,3.472698E-2,4.892438E-2,6.518615E-2,8.284131E-2,1.012173E-1,1.196551E-1,1.375241E-1,1.542362E-1,1.692585E-1,1.821258E-1,1.924506E-1,1.999324E-1,2.043647E-1,2.056405E-1,2.037556E-1,1.988102E-1,1.910081E-1,1.806543E-1,1.681506E-1,1.539887E-1,1.387426E-1,1.230584E-1,1.076434E-1,9.325331E-2,8.067891E-2,7.073166E-2,6.422872E-2,6.197773E-2,6.476153E-2,7.332304E-2,8.835058E-2,1.104639E-1,1.402011E-1,1.780069E-1,2.242219E-1,2.790739E-1,3.426702E-1,4.149926E-1,4.958936E-1,5.850947E-1,6.821875E-1,7.866355E-1,8.977792E-1,1.014842,1.136941,1.263092,1.392226,1.523202,1.654819,1.785832,1.914970,2.040954,2.162507,2.278380,2.387365,2.488310,2.580138,2.661860,2.732588,2.791549,2.838097,2.871719,2.892043,2.898842
0.2,302.4224,296.7911,280.6671,256.1616,226.2077,193.9155,162.0111,132.4949,106.5476,84.62568,66.65614,52.24648,40.86078,31.94180,24.98107,19.54983,15.30454,11.97892,9.370629,7.327089,5.733019,4.500362,3.560672,2.859587,2.352949,2.004141,1.782285,1.661029,1.617725,1.632864,1.689675,1.773822,1.873166,1.977561,2.078677,2.169839,2.245867,2.302935,2.338424,2.350791,2.339436,2.304578,2.247133,2.168604,2.070973,1.956597,1.828118,1.688371,1.540306,1.386912,1.231150,1.075895,9.238799E-1,7.776516E-1,6.395315E-1,5.115837E-1,3.955897E-1,2.930304E-1,2.050736E-1,1.325685E-1,7.604601E-2,3.572376E-2,1.151713E-2,3.054364E-3,9.696009E-3,3.055792E-2,6.453732E-2,1.103414E-1,1.665180E-1,2.314871E-1,3.035742E-1,3.810424E-1,4.621258E-1,5.450607E-1,6.281167E-1,7.096252E-1,7.880044E-1,8.617878E-1,9.296407E-1,9.903814E-1,1.042995,1.086646,1.120687,1.144660,1.158305,1.161551,1.154513,1.137487,1.110937,1.075476,1.031866,9.809826E-1,9.238073E-1,8.614037E-1,7.948969E-1,7.254521E-1,6.542536E-1,5.824829E-1,5.112988E-1,4.418170E-1,3.750925E-1,3.121024E-1,2.537306E-1,2.007553E-1,1.538374E-1,1.135121E-1,8.018288E-2,5.411725E-2,3.544548E-2,2.416162E-2,2.012682E-2,2.307492E-2,3.262013E-2,4.826670E-2,6.942027E-2,9.540077E-2,1.254566E-1,1.587796E-1,1.945217E-1,2.318101E-1,2.697652E-1,3.075158E-1,3.442164E-1,3.790616E-1,4.113015E-1,4.402545E-1,4.653198E-1,4.859880E-1,5.018496E-1,5.126025E-1,5.180566E-1,5.181377E-1,5.128880E-1,5.024653E-1,4.871401E-1,4.672910E-1,4.433976E-1,4.160321E-1,3.858497E-1,3.535766E-1,3.199974E-1,2.859420E-1,2.522708E-1,2.198593E-1,1.895836E-1,1.623047E-1,1.388533E-1,1.200155E-1,1.065184E-1,9.901713E-2,9.808327E-2,1.041938E-1,1.177219E-1,1.389298E-1,1.679626E-1,2.048445E-1,2.494765E-1,3.016366E-1,3.609815E-1,4.270501E-1,4.992694E-1,5.769617E-1,6.593533E-1,7.455859E-1,8.347275E-1,9.257862E-1,1.017724,1.109470,1.199942,1.288051,1.372729,1.452937,1.527681,1.596030,1.657126,1.710199,1.754575,1.789691,1.815100,1.830476,1.835624
0.25,308.0208,300.9670,280.9976,251.3098,216.1529,179.7282,145.3544,115.0999,89.83858,69.55352,53.70220,41.52365,32.24278,25.17780,19.77864,15.62502,12.40663,9.898270,7.937205,6.404785,5.212887,4.294362,3.596570,3.077109,2.701050,2.439145,2.266657,2.162585,2.109118,2.091231,2.096355,2.114124,2.136124,2.155682,2.167667,2.168305,2.155008,2.126214,2.081239,2.020140,1.943594,1.852781,1.749280,1.634976,1.511975,1.382526,1.248952,1.113590,9.787345E-1,8.465931E-1,7.192428E-1,5.985966E-1,4.863738E-1,3.840767E-1,2.929733E-1,2.140845E-1,1.481763E-1,9.575770E-2,5.708194E-2,3.215278E-2,2.073435E-2,2.236460E-2,3.637194E-2,6.189468E-2,9.790282E-2,1.432217E-1,1.965573E-1,2.565224E-1,3.216634E-1,3.904874E-1,4.614887E-1,5.331752E-1,6.040927E-1,6.728489E-1,7.381350E-1,7.987473E-1,8.535945E-1,9.017326E-1,9.423575E-1,9.748236E-1,9.986488E-1,1.013518,1.019285,1.015968,1.003748,9.829589E-1,9.540791E-1,9.177205E-1,8.746137E-1,8.255931E-1,7.715804E-1,7.135670E-1,6.525954E-1,5.897403E-1,5.260898E-1,4.627265E-1,4.007090E-1,3.410548E-1,2.847234E-1,2.326010E-1,1.854871E-1,1.440818E-1,1.089765E-1,8.064465E-2,5.943626E-2,4.557360E-2,3.914937E-2,4.012702E-2,4.834315E-2,6.351201E-2,8.523190E-2,1.129935E-1,1.461897E-1,1.841271E-1,2.260385E-1,2.710969E-1,3.184299E-1,3.671351E-1,4.162953E-1,4.649943E-1,5.123323E-1,5.574411E-1,5.994983E-1,6.377407E-1,6.714776E-1,7.001011E-1,7.230962E-1,7.400493E-1,7.506547E-1,7.547192E-1,7.521652E-1,7.430317E-1,7.274735E-1,7.057586E-1,6.782641E-1,6.454689E-1,6.079472E-1,5.663585E-1,5.214369E-1,4.739798E-1,4.248345E-1,3.748847E-1,3.250373E-1,2.762063E-1,2.292994E-1,1.852032E-1,1.447688E-1,1.087981E-1,7.803131E-2,5.313449E-2,3.468912E-2,2.318236E-2,1.899895E-2,2.241473E-2,3.359172E-2,5.257495E-2,7.929109E-2,1.135489E-1,1.550413E-1,2.033493E-1,2.579481E-1,3.182136E-1,3.834320E-1,4.528089E-1,5.254816E-1,6.005311E-1,6.769955E-1,7.538833E-1,8.301886E-1,9.049056E-1,9.770423E-1,1.045637,1.109769,1.168575,1.221263,1.267118,1.305518,1.335941,1.357973,1.371313,1.375780
0.3,316.8606,308.3126,284.3781,249.5464,209.5286,169.5890,133.4566,103.0406,78.74557,60.02988,45.92762,35.40743,27.56101,21.66876,17.19614,13.76122,11.09615,9.013540,7.380608,6.100981,5.102482,4.329233,3.736679,3.288466,2.954478,2.709577,2.532749,2.406488,2.316325,2.250436,2.199301,2.155406,2.112969,2.067694,2.016548,1.957560,1.889643,1.812439,1.726174,1.631540,1.529585,1.421626,1.309164,1.193819,1.077267,9.611914E-1,8.472401E-1,7.369870E-1,6.319022E-1,5.333261E-1,4.424486E-1,3.602931E-1,2.877041E-1,2.253389E-1,1.736638E-1,1.329521E-1,1.032868E-1,8.456552E-2,7.650890E-2,7.867071E-2,9.045091E-2,1.111104E-1,1.397879E-1,1.755178E-1,2.172492E-1,2.638663E-1,3.142084E-1,3.670906E-1,4.213242E-1,4.757364E-1,5.291895E-1,5.805990E-1,6.289498E-1,6.733119E-1,7.128534E-1,7.468519E-1,7.747043E-1,7.959335E-1,8.101938E-1,8.172739E-1,8.170963E-1,8.097175E-1,7.953229E-1,7.742213E-1,7.468372E-1,7.137019E-1,6.754422E-1,6.327679E-1,5.864589E-1,5.373504E-1,4.863187E-1,4.342649E-1,3.821002E-1,3.307298E-1,2.810384E-1,2.338754E-1,1.900407E-1,1.502726E-1,1.152357E-1,8.551075E-2,6.158562E-2,4.384828E-2,3.258110E-2,2.795700E-2,3.003746E-2,3.877223E-2,5.400093E-2,7.545626E-2,1.027690E-1,1.354747E-1,1.730212E-1,2.147786E-1,2.600493E-1,3.080797E-1,3.580726E-1,4.092000E-1,4.606165E-1,5.114730E-1,5.609300E-1,6.081718E-1,6.524184E-1,6.929384E-1,7.290609E-1,7.601857E-1,7.857929E-1,8.054513E-1,8.188251E-1,8.256797E-1,8.258847E-1,8.194172E-1,8.063617E-1,7.869094E-1,7.613554E-1,7.300938E-1,6.936143E-1,6.524912E-1,6.073785E-1,5.589981E-1,5.081298E-1,4.555999E-1,4.022681E-1,3.490152E-1,2.967300E-1,2.462956E-1,1.985762E-1,1.544043E-1,1.145677E-1,7.979792E-2,5.075878E-2,2.803627E-2,1.212942E-2,3.442577E-3,2.278642E-3,8.834305E-3,2.319642E-2,4.534009E-2,7.512836E-2,1.123136E-1,1.565403E-1,2.073495E-1,2.641851E-1,3.264008E-1,3.932690E-1,4.639907E-1,5.377060E-1,6.135070E-1,6.904491E-1,7.675643E-1,8.438754E-1,9.184089E-1,9.902085E-1,1.058348,1.121947,1.180180,1.232286,1.277588,1.315491,1.345500,1.367221,1.380369,1.384771
0.35,327.2591,317.1513,289.1516,249.2363,204.6878,161.7620,124.4046,94.17849,70.92745,53.59923,40.88331,31.57195,24.70085,19.56132,15.65723,12.64944,10.30699,8.470378,7.026444,5.891959,5.003444,4.310909,3.774036,3.359847,3.041181,2.795678,2.605030,2.454383,2.331836,2.228012,2.135667,2.049352,1.965110,1.880207,1.792902,1.702247,1.607920,1.510078,1.409236,1.306174,1.201849,1.097329,9.937389E-1,8.922164E-1,7.938732E-1,6.997677E-1,6.108803E-1,5.280950E-1,4.521850E-1,3.838014E-1,3.234651E-1,2.715620E-1,2.283404E-1,1.939105E-1,1.682469E-1,1.511924E-1,1.424642E-1,1.416604E-1,1.482722E-1,1.616916E-1,1.812257E-1,2.061081E-1,2.355140E-1,2.685741E-1,3.043900E-1,3.420485E-1,3.806373E-1,4.192590E-1,4.570458E-1,4.931721E-1,5.268678E-1,5.574286E-1,5.842270E-1,6.067203E-1,6.244579E-1,6.370870E-1,6.443561E-1,6.461179E-1,6.423289E-1,6.330491E-1,6.184388E-1,5.987545E-1,5.743428E-1,5.456337E-1,5.131322E-1,4.774085E-1,4.390882E-1,3.988408E-1,3.573683E-1,3.153935E-1,2.736470E-1,2.328556E-1,1.937304E-1,1.569547E-1,1.231733E-1,9.298157E-2,6.691672E-2,4.544857E-2,2.897244E-2,1.780281E-2,1.216848E-2,1.220905E-2,1.797274E-2,2.941573E-2,4.640288E-2,6.870993E-2,9.602704E-2,1.279636E-1,1.640544E-1,2.037668E-1,2.465091E-1,2.916394E-1,3.384761E-1,3.863079E-1,4.344051E-1,4.820306E-1,5.284516E-1,5.729513E-1,6.148386E-1,6.534604E-1,6.882114E-1,7.185431E-1,7.439729E-1,7.640920E-1,7.785715E-1,7.871684E-1,7.897293E-1,7.861949E-1,7.765978E-1,7.610676E-1,7.398260E-1,7.131862E-1,6.815476E-1,6.453902E-1,6.052734E-1,5.618183E-1,5.157090E-1,4.676778E-1,4.184968E-1,3.689663E-1,3.199039E-1,2.721325E-1,2.264688E-1,1.837117E-1,1.446301E-1,1.099523E-1,8.035514E-2,5.645357E-2,3.879192E-2,2.783536E-2,2.396265E-2,2.746007E-2,3.851663E-2,5.722048E-2,8.355679E-2,1.174071E-1,1.585500E-1,2.066629E-1,2.613261E-1,3.220274E-1,3.881679E-1,4.590698E-1,5.339845E-1,6.121030E-1,6.925632E-1,7.744665E-1,8.568834E-1,9.388689E-1,1.019475,1.097760,1.172807,1.243726,1.309678,1.369875,1.423597,1.470199,1.509120,1.539891,1.562140,1.575598,1.580102
0.4,338.1818,326.4590,294.3247,249.4249,200.6872,155.2548,117.0994,87.29332,65.08172,48.95133,37.33043,28.91032,22.72006,18.08525,14.55309,11.82229,9.690007,8.015777,6.698509,5.662482,4.848960,4.211200,3.711437,3.318972,3.008870,2.760994,2.559264,2.390994,2.246344,2.117835,1.999920,1.888614,1.781179,1.675853,1.571625,1.468054,1.365116,1.263083,1.162433,1.063768,9.677611E-1,8.751115E-1,7.865082E-1,7.026056E-1,6.240045E-1,5.512368E-1,4.847556E-1,4.249274E-1,3.720278E-1,3.262375E-1,2.876419E-1,2.562313E-1,2.319023E-1,2.144616E-1,2.036298E-1,1.990471E-1,2.002793E-1,2.068265E-1,2.181302E-1,2.335833E-1,2.525396E-1,2.743239E-1,2.982418E-1,3.235951E-1,3.496829E-1,3.758217E-1,4.013510E-1,4.256436E-1,4.481152E-1,4.682322E-1,4.855193E-1,4.995662E-1,5.100326E-1,5.166526E-1,5.192379E-1,5.176791E-1,5.119467E-1,5.020900E-1,4.882355E-1,4.705839E-1,4.494054E-1,4.250349E-1,3.978656E-1,3.683420E-1,3.369523E-1,3.042197E-1,2.706936E-1,2.369409E-1,2.035358E-1,1.710511E-1,1.400482E-1,1.110685E-1,8.462417E-2,6.119024E-2,4.119662E-2,2.502124E-2,1.298397E-2,5.341293E-3,2.282114E-3,3.924533E-3,1.031373E-2,2.142098E-2,3.714375E-2,5.730702E-2,8.166554E-2,1.099074E-1,1.416583E-1,1.764873E-1,2.139124E-1,2.534087E-1,2.944151E-1,3.363429E-1,3.785852E-1,4.205251E-1,4.615455E-1,5.010381E-1,5.384133E-1,5.731084E-1,6.045969E-1,6.323963E-1,6.560765E-1,6.752657E-1,6.896571E-1,6.990145E-1,7.031763E-1,7.020582E-1,6.956555E-1,6.840461E-1,6.673849E-1,6.459105E-1,6.199370E-1,5.898516E-1,5.561106E-1,5.192338E-1,4.797979E-1,4.384286E-1,3.957932E-1,3.525912E-1,3.095451E-1,2.673909E-1,2.268679E-1,1.887082E-1,1.536271E-1,1.223128E-1,9.541664E-2,7.354365E-2,5.724405E-2,4.700476E-2,4.324215E-2,4.629563E-2,5.642193E-2,7.379073E-2,9.848132E-2,1.304802E-1,1.696802E-1,2.158808E-1,2.687896E-1,3.280245E-1,3.931176E-1,4.635212E-1,5.386131E-1,6.177026E-1,7.000400E-1,7.848258E-1,8.712173E-1,9.583437E-1,1.045310,1.131214,1.215153,1.296239,1.373604,1.446416,1.513887,1.575282,1.629932,1.677235,1.716672,1.747807,1.770295,1.783889,1.788438
0.45,349.0536,335.6707,299.3623,249.6117,197.0349,149.5343,110.9288,81.69579,60.48359,45.38297,34.63651,26.88987,21.19431,16.91825,13.64937,11.11692,9.138406,7.585834,6.365463,5.405901,4.651172,4.056626,3.586383,3.211623,2.909352,2.661378,2.453560,2.275029,2.117611,1.975292,1.843768,1.720061,1.602210,1.489010,1.379811,1.274361,1.172663,1.074905,9.813728E-1,8.924016E-1,8.083408E-1,7.295253E-1,6.562574E-1,5.887944E-1,5.273401E-1,4.720395E-1,4.229759E-1,3.801696E-1,3.435772E-1,3.130928E-1,2.885494E-1,2.697212E-1,2.563263E-1,2.480316E-1,2.444556E-1,2.451748E-1,2.497283E-1,2.576246E-1,2.683479E-1,2.813652E-1,2.961334E-1,3.121070E-1,3.287456E-1,3.455208E-1,3.619239E-1,3.774732E-1,3.917197E-1,4.042537E-1,4.147104E-1,4.227741E-1,4.281826E-1,4.307305E-1,4.302710E-1,4.267181E-1,4.200462E-1,4.102904E-1,3.975451E-1,3.819616E-1,3.637449E-1,3.431504E-1,3.204791E-1,2.960723E-1,2.703056E-1,2.435832E-1,2.163307E-1,1.889883E-1,1.620036E-1,1.358242E-1,1.108910E-1,8.763000E-2,6.644654E-2,4.771802E-2,3.178806E-2,1.896076E-2,9.495714E-3,3.603610E-3,1.442651E-3,3.115653E-3,8.668065E-3,1.808678E-2,3.129986E-2,4.817718E-2,6.853176E-2,9.212223E-2,1.186559E-1,1.477929E-1,1.791502E-1,2.123080E-1,2.468146E-1,2.821934E-1,3.179498E-1,3.535780E-1,3.885688E-1,4.224167E-1,4.546280E-1,4.847277E-1,5.122670E-1,5.368305E-1,5.580424E-1,5.755727E-1,5.891427E-1,5.985301E-1,6.035716E-1,6.041693E-1,6.002900E-1,5.919684E-1,5.793071E-1,5.624768E-1,5.417145E-1,5.173219E-1,4.896619E-1,4.591548E-1,4.262732E-1,3.915372E-1,3.555072E-1,3.187774E-1,2.819684E-1,2.457194E-1,2.106795E-1,1.774997E-1,1.468238E-1,1.192804E-1,9.547350E-2,7.597503E-2,6.131619E-2,5.198009E-2,4.839479E-2,5.092658E-2,5.987447E-2,7.546517E-2,9.784899E-2,1.270968E-1,1.631976E-1,2.060576E-1,2.555000E-1,3.112659E-1,3.730158E-1,4.403333E-1,5.127285E-1,5.896423E-1,6.704548E-1,7.544878E-1,8.410137E-1,9.292673E-1,1.018448,1.107732,1.196282,1.283258,1.367821,1.449151,1.526449,1.598952,1.665938,1.726737,1.780737,1.827393,1.866231,1.896857,1.918959,1.932311,1.936777
0.5,359.5769,344.4976,303.9999,249.5588,193.4926,144.3202,105.5468,76.98647,56.71805,42.50557,32.46905,25.24681,19.92741,15.92286,12.85574,10.47892,8.624241,7.171866,6.032561,5.137594,4.432863,3.875364,3.430886,3.072363,2.778612,2.533197,2.323690,2.140749,1.977535,1.829152,1.692183,1.564318,1.444060,1.330490,1.223086,1.121593,1.025924,9.360840E-1,8.521266E-1,7.741173E-1,7.021119E-1,6.361427E-1,5.762099E-1,5.222774E-1,4.742703E-1,4.320748E-1,3.955380E-1,3.644697E-1,3.386431E-1,3.177969E-1,3.016373E-1,2.898410E-1,2.820557E-1,2.779070E-1,2.769986E-1,2.789176E-1,2.832384E-1,2.895273E-1,2.973472E-1,3.062627E-1,3.158451E-1,3.256771E-1,3.353588E-1,3.445116E-1,3.527834E-1,3.598527E-1,3.654329E-1,3.692753E-1,3.711723E-1,3.709600E-1,3.685195E-1,3.637787E-1,3.567119E-1,3.473403E-1,3.357307E-1,3.219943E-1,3.062843E-1,2.887929E-1,2.697484E-1,2.494108E-1,2.280682E-1,2.060313E-1,1.836286E-1,1.612013E-1,1.390977E-1,1.176673E-1,9.725574E-2,7.819873E-2,6.081699E-2,4.541084E-2,3.225551E-2,2.159636E-2,1.364500E-2,8.575549E-3,6.521608E-3,7.573756E-3,1.177769E-2,1.913303E-2,2.959278E-2,4.306344E-2,5.940589E-2,7.843699E-2,9.993147E-2,1.236250E-1,1.492177E-1,1.763775E-1,2.047455E-1,2.339402E-1,2.635629E-1,2.932036E-1,3.224466E-1,3.508765E-1,3.780843E-1,4.036735E-1,4.272661E-1,4.485081E-1,4.670739E-1,4.826792E-1,4.950697E-1,5.040419E-1,5.094380E-1,5.111518E-1,5.091300E-1,5.033752E-1,4.939459E-1,4.809584E-1,4.645842E-1,4.450507E-1,4.226387E-1,3.976793E-1,3.705512E-1,3.416765E-1,3.115155E-1,2.805619E-1,2.493373E-1,2.183841E-1,1.882596E-1,1.595291E-1,1.327582E-1,1.085062E-1,8.731844E-2,6.971947E-2,5.620552E-2,4.723820E-2,4.323770E-2,4.457684E-2,5.157553E-2,6.449575E-2,8.353743E-2,1.088343E-1,1.404516E-1,1.783835E-1,2.225523E-1,2.728074E-1,3.289264E-1,3.906162E-1,4.575146E-1,5.291942E-1,6.051659E-1,6.848829E-1,7.677471E-1,8.531141E-1,9.402995E-1,1.028589,1.117240,1.205496,1.292589,1.377752,1.460227,1.539270,1.614160,1.684213,1.748780,1.807261,1.859109,1.903839,1.941028,1.970325,1.991453,2.004210,2.008476
