energy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
0.05,209.4828,208.5206,205.6638,201.0000,194.6698,186.8586,177.7869,167.6990,156.8508,145.4988,133.8895,122.2513,110.7872,99.67099,89.04443,79.01717,69.66776,61.04600,53.17627,46.06118,39.68560,34.02043,29.02628,24.65670,20.86095,17.58633,14.78004,12.39060,10.36888,8.668813,7.247829,6.067095,5.091562,4.289905,3.634371,3.100580,2.667281,2.316099,2.031277,1.799421,1.609255,1.451396,1.318133,1.203232,1.101750,1.009869,9.247367E-1,8.443267E-1,7.673066E-1,6.929181E-1,6.208673E-1,5.512247E-1,4.843345E-1,4.207326E-1,3.610737E-1,3.060666E-1,2.564186E-1,2.127869E-1,1.757397E-1,1.457239E-1,1.230418E-1,1.078339E-1,1.000697E-1,9.954491E-2,1.058848E-1,1.185528E-1,1.368648E-1,1.600069E-1,1.870577E-1,2.170126E-1,2.488104E-1,2.813622E-1,3.135795E-1,3.444031E-1,3.728309E-1,3.979446E-1,4.189335E-1,4.351165E-1,4.459608E-1,4.510969E-1,4.503299E-1,4.436468E-1,4.312197E-1,4.134045E-1,3.907356E-1,3.639165E-1,3.338064E-1,3.014032E-1,2.678233E-1,2.342783E-1,2.020494E-1,1.724603E-1,1.468479E-1,1.265328E-1,1.127895E-1,1.068171E-1,1.097103E-1,1.224329E-1,1.457929E-1,1.804200E-1,2.267462E-1,2.849907E-1,3.551473E-1,4.369766E-1,5.300029E-1,6.335145E-1,7.465694E-1,8.680050E-1,9.964527E-1,1.130356,1.267992,1.407499,1.546906,1.684162,1.817172,1.943835,2.062076,2.169889,2.265372,2.346763,2.412477,2.461140,2.491617,2.503042,2.494843,2.466759,2.418859,2.351548,2.265578,2.162042,2.042376,1.908340,1.762009,1.605749,1.442188,1.274191,1.104818,9.372899E-1,7.749433E-1,6.211864E-1,4.794510E-1,3.531439E-1,2.455975E-1,1.600196E-1,9.944517E-2,6.668814E-2,6.429639E-2,9.450898E-2,1.592171E-1,2.599289E-1,3.977392E-1,5.733043E-1,7.868220E-1,1.038018,1.326139,1.649950,2.007740,2.397337,2.816119,3.261047,3.728688,4.215257,4.716651,5.228503,5.746223,6.265061,6.780151,7.286582,7.779444,8.253899,8.705231,9.128910,9.520646,9.876441,10.19264,10.46598,10.69362,10.87319,11.00281,11.08114,11.10734
0.1,187.5280,185.8110,180.7649,172.6928,162.0621,149.4552,135.5122,120.8735,106.1305,91.78932,78.24900,65.79412,54.59960,44.74395,36.22742,28.99180,22.93938,17.94952,13.89194,10.63659,8.060431,6.051423,4.510557,3.352297,2.504047,1.905011,1.504768,1.261762,1.141853,1.117015,1.164200,1.264396,1.401859,1.563499,1.738404,1.917471,2.093128,2.259119,2.410343,2.542725,2.653124,2.739242,2.799562,2.833280,2.840243,2.820899,2.776229,2.707695,2.617177,2.506913,2.379437,2.237520,2.084105,1.922249,1.755060,1.585644,1.417047,1.252204,1.093891,9.446822E-1,8.069090E-1,6.826276E-1,5.735906E-1,4.812246E-1,4.066140E-1,3.504907E-1,3.132310E-1,2.948573E-1,2.950475E-1,3.131489E-1,3.481982E-1,3.989470E-1,4.638907E-1,5.413027E-1,6.292714E-1,7.257396E-1,8.285464E-1,9.354699E-1,1.044270,1.152733,1.258710,1.360159,1.455181,1.542055,1.619265,1.685527,1.739811,1.781353,1.809666,1.824546,1.826068,1.814581,1.790694,1.755261,1.709355,1.654246,1.591369,1.522291,1.448674,1.372244,1.294744,1.217904,1.143399,1.072815,1.007613,9.491019E-1,8.984049E-1,8.564408E-1,8.239025E-1,8.012430E-1,7.886663E-1,7.861232E-1,7.933132E-1,8.096917E-1,8.344819E-1,8.666926E-1,9.051404E-1,9.484765E-1,9.952168E-1,1.043776,1.092504,1.139722,1.183768,1.223027,1.255980,1.281236,1.297569,1.303954,1.299594,1.283947,1.256748,1.218024,1.168103,1.107625,1.037533,9.590694E-1,8.737641E-1,7.834126E-1,6.900519E-1,5.959310E-1,5.034751E-1,4.152470E-1,3.339041E-1,2.621525E-1,2.026994E-1,1.582040E-1,1.312279E-1,1.241859E-1,1.392988E-1,1.785470E-1,2.436290E-1,3.359214E-1,4.564461E-1,6.058402E-1,7.843335E-1,9.917316E-1,1.227405,1.490286,1.778874,2.091244,2.425065,2.777626,3.145866,3.526412,3.915621,4.309628,4.704397,5.095777,5.479560,5.851539,6.207596,6.543621,6.855852,7.140649,7.394687,7.614979,7.798918,7.944314,8.049432,8.113013,8.134291
0.15,167.6881,165.2663,158.2273,147.2131,133.1761,117.2345,100.5187,84.04065,68.60448,54.76610,42.83543,32.90965,24.92296,18.70023,14.00558,10.58117,8.174749,6.556802,5.529270,4.928236,4.622668,4.510967,4.516566,4.583382,4.671618,4.754083,4.813183,4.838477,4.824772,4.770663,4.677413,4.548119,4.387073,4.199287,3.990133,3.765072,3.529441,3.288302,3.046325,2.807703,2.576099,2.354611,2.145763,1.951509,1.773251,1.611875,1.467792,1.340990,1.231088,1.137397,1.058983,9.947238E-1,9.433714E-1,9.036051E-1,8.740828E-1,8.534838E-1,8.405499E-1,8.341133E-1,8.331222E-1,8.366563E-1,8.439365E-1,8.543279E-1,8.673351E-1,8.825952E-1,8.998628E-1,9.189930E-1,9.399216E-1,9.626430E-1,9.871869E-1,1.013596,1.041903,1.072110,1.104173,1.137983,1.173354,1.210018,1.247618,1.285708,1.323757,1.361155,1.397226,1.431241,1.462431,1.490011,1.513200,1.531237,1.543409,1.549066,1.547648,1.538699,1.521882,1.497001,1.464004,1.422993,1.374229,1.318132,1.255278,1.186386,1.112317,1.034049,9.526653E-1,8.693324E-1,7.852761E-1,7.017578E-1,6.200481E-1,5.414003E-1,4.670234E-1,3.980566E-1,3.355438E-1,2.804108E-1,2.334446E-1,1.952751E-1,1.663605E-1,1.469764E-1,1.372082E-1,1.369484E-1,1.458973E-1,1.635686E-1,1.892988E-1,2.222604E-1,2.614796E-1,3.058562E-1,3.541874E-1,4.051940E-1,4.575477E-1,5.099010E-1,5.609168E-1,6.092983E-1,6.538190E-1,6.933507E-1,7.268899E-1,7.535825E-1,7.727439E-1,7.838781E-1,7.866904E-1,7.810983E-1,7.672362E-1,7.454563E-1,7.163252E-1,6.806153E-1,6.392919E-1,5.934963E-1,5.445248E-1,4.938040E-1,4.428628E-1,3.933029E-1,3.467661E-1,3.049011E-1,2.693288E-1,2.416085E-1,2.232042E-1,2.154527E-1,2.195330E-1,2.364392E-1,2.669562E-1,3.116388E-1,3.707958E-1,4.444774E-1,5.324691E-1,6.342885E-1,7.491892E-1,8.761678E-1,1.013978,1.161149,1.316003,1.476687,1.641201,1.807428,1.973173,2.136197,2.294257,2.445144,2.586721,2.716961,2.833981,2.936076,3.021749,3.089737,3.139034,3.168909,3.178917
0.2,182.8673,179.4908,169.7707,154.8464,136.3487,116.0884,95.75662,76.70894,59.85988,45.68182,34.27591,25.47681,18.95991,14.33112,11.19140,9.176359,7.975610,7.338177,7.069309,7.023072,7.093542,7.206266,7.310838,7.374756,7.378708,7.312929,7.174521,6.965458,6.691137,6.359286,5.979152,5.560866,5.114958,4.651955,4.182064,3.714916,3.259353,2.823274,2.413514,2.035766,1.694536,1.393137,1.133708,9.172624E-1,7.437594E-1,6.121935E-1,5.207008E-1,4.666770E-1,4.469002E-1,4.576620E-1,4.948956E-1,5.543033E-1,6.314776E-1,7.220155E-1,8.216214E-1,9.262008E-1,1.031939,1.135367,1.233417,1.323456,1.403314,1.471293,1.526168,1.567172,1.593976,1.606654,1.605646,1.591712,1.565885,1.529417,1.483723,1.430335,1.370843,1.306849,1.239923,1.171560,1.103144,1.035920,9.709705E-1,9.091977E-1,8.513126E-1,7.978316E-1,7.490775E-1,7.051870E-1,6.661226E-1,6.316897E-1,6.015565E-1,5.752770E-1,5.523168E-1,5.320780E-1,5.139290E-1,4.972280E-1,4.813501E-1,4.657103E-1,4.497851E-1,4.331305E-1,4.153974E-1,3.963426E-1,3.758364E-1,3.538660E-1,3.305355E-1,3.060610E-1,2.807634E-1,2.550566E-1,2.294339E-1,2.044509E-1,1.807075E-1,1.588276E-1,1.394382E-1,1.231488E-1,1.105305E-1,1.020962E-1,9.828237E-2,9.943313E-2,1.057860E-1,1.174609E-1,1.344525E-1,1.566252E-1,1.837123E-1,2.153181E-1,2.509239E-1,2.898972E-1,3.315037E-1,3.749230E-1,4.192660E-1,4.635946E-1,5.069437E-1,5.483424E-1,5.868390E-1,6.215227E-1,6.515468E-1,6.761502E-1,6.946774E-1,7.065962E-1,7.115132E-1,7.091867E-1,6.995353E-1,6.826439E-1,6.587659E-1,6.283218E-1,5.918930E-1,5.502139E-1,5.041586E-1,4.547248E-1,4.030157E-1,3.502181E-1,2.975788E-1,2.463795E-1,1.979102E-1,1.534423E-1,1.142015E-1,8.134121E-2,5.591739E-2,3.886462E-2,3.097466E-2,3.287752E-2,4.502565E-2,6.768151E-2,1.009089E-1,1.445684E-1,1.983162E-1,2.616078E-1,3.337056E-1,4.136900E-1,5.004748E-1,5.928254E-1,6.893809E-1,7.886784E-1,8.891792E-1,9.892979E-1,1.087431,1.181986,1.271414,1.354238,1.429077,1.494678,1.549938,1.593921,1.625883,1.645280,1.651782
0.25,207.8828,203.4032,190.6184,171.3176,147.9750,123.1930,99.22022,77.66319,59.41385,44.74091,33.46496,25.14568,19.23682,15.19263,12.52785,10.84267,9.825135,9.241724,8.923338,8.750915,8.642828,8.544746,8.421913,8.253510,8.028616,7.743363,7.398909,6.999997,6.553879,6.069507,5.556890,5.026561,4.489150,3.955009,3.433916,2.934820,2.465647,2.033157,1.642842,1.298874,1.004092,7.600261E-1,5.669523E-1,4.239789E-1,3.291518E-1,2.795796E-1,2.715717E-1,3.007840E-1,3.623702E-1,4.511313E-1,5.616638E-1,6.884995E-1,8.262373E-1,9.696620E-1,1.113851,1.254265,1.386824,1.507967,1.614694,1.704594,1.775857,1.827268,1.858195,1.868557,1.858784,1.829775,1.782833,1.719615,1.642055,1.552310,1.452683,1.345562,1.233355,1.118431,1.003067,8.893961E-1,7.793689E-1,6.747176E-1,5.769289E-1,4.872248E-1,4.065517E-1,3.355752E-1,2.746845E-1,2.240014E-1,1.833964E-1,1.525095E-1,1.307763E-1,1.174567E-1,1.116669E-1,1.124128E-1,1.186245E-1,1.291906E-1,1.429910E-1,1.589290E-1,1.759602E-1,1.931183E-1,2.095377E-1,2.244717E-1,2.373070E-1,2.475729E-1,2.549469E-1,2.592549E-1,2.604683E-1,2.586958E-1,2.541726E-1,2.472457E-1,2.383570E-1,2.280239E-1,2.168184E-1,2.053455E-1,1.942209E-1,1.840494E-1,1.754038E-1,1.688057E-1,1.647075E-1,1.634775E-1,1.653874E-1,1.706028E-1,1.791772E-1,1.910490E-1,2.060420E-1,2.238698E-1,2.441427E-1,2.663777E-1,2.900116E-1,3.144168E-1,3.389173E-1,3.628092E-1,3.853787E-1,4.059237E-1,4.237736E-1,4.383089E-1,4.489804E-1,4.553260E-1,4.569861E-1,4.537166E-1,4.453988E-1,4.320471E-1,4.138127E-1,3.909845E-1,3.639867E-1,3.333725E-1,2.998154E-1,2.640965E-1,2.270903E-1,1.897463E-1,1.530702E-1,1.181020E-1,8.589397E-2,5.748718E-2,3.388803E-2,1.604510E-2,4.826809E-3,1.000322E-3,5.212318E-3,1.797195E-2,3.963642E-2,7.039958E-2,1.102837E-1,1.591346E-1,2.166207E-1,2.822353E-1,3.553030E-1,4.349887E-1,5.203114E-1,6.101597E-1,7.033111E-1,7.984533E-1,8.942076E-1,9.891538E-1,1.081856,1.170891,1.254872,1.332476,1.402470,1.463731,1.515272,1.556259,1.586022,1.604077,1.610128
0.3,234.2007,228.5231,212.4514,188.5709,160.3384,131.2014,103.9130,80.21099,60.83799,45.77419,34.53433,26.42847,20.74330,16.84320,14.21064,12.44922,11.26824,10.46115,9.884517,9.440544,9.063592,8.710451,8.353543,7.976270,7.569857,7.131150,6.661199,6.163925,5.645449,5.113302,4.575859,4.041857,3.519971,3.018478,2.544968,2.106123,1.707557,1.353700,1.047743,7.916183E-1,5.860265E-1,4.304942E-1,3.234603E-1,2.623861E-1,2.438816E-1,2.638447E-1,3.176076E-1,4.000856E-1,5.059247E-1,6.296457E-1,7.657787E-1,9.089894E-1,1.054192,1.196646,1.332044,1.456579,1.566992,1.660613,1.735381,1.789845,1.823160,1.835058,1.825824,1.796243,1.747555,1.681391,1.599712,1.504739,1.398887,1.284696,1.164760,1.041667,9.179356E-1,7.959598E-1,6.779626E-1,5.659523E-1,4.616873E-1,3.666510E-1,2.820318E-1,2.087127E-1,1.472679E-1,9.796730E-2,6.078779E-2,3.543041E-2,2.134349E-2,1.775032E-2,2.368071E-2,3.800541E-2,5.947250E-2,8.674484E-2,1.184375E-1,1.531544E-1,1.895237E-1,2.262298E-1,2.620438E-1,2.958487E-1,3.266620E-1,3.536530E-1,3.761554E-1,3.936760E-1,4.058975E-1,4.126777E-1,4.140439E-1,4.101826E-1,4.014268E-1,3.882388E-1,3.711914E-1,3.509460E-1,3.282301E-1,3.038134E-1,2.784836E-1,2.530235E-1,2.281877E-1,2.046817E-1,1.831432E-1,1.641249E-1,1.480814E-1,1.353576E-1,1.261823E-1,1.206634E-1,1.187879E-1,1.204244E-1,1.253296E-1,1.331573E-1,1.434702E-1,1.557545E-1,1.694364E-1,1.838995E-1,1.985049E-1,2.126098E-1,2.255880E-1,2.368488E-1,2.458559E-1,2.521440E-1,2.553347E-1,2.551489E-1,2.514179E-1,2.440912E-1,2.332410E-1,2.190640E-1,2.018802E-1,1.821280E-1,1.603565E-1,1.372151E-1,1.134399E-1,8.983824E-2,6.727097E-2,4.663300E-2,2.883277E-2,1.477090E-2,5.318612E-3,1.296341E-3,3.453048E-3,1.244672E-2,2.882650E-2,5.301681E-2,8.530396E-2,1.258254E-1,1.745620E-1,2.313337E-1,2.957980E-1,3.674522E-1,4.456394E-1,5.295566E-1,6.182672E-1,7.107158E-1,8.057455E-1,9.021177E-1,9.985339E-1,1.093659,1.186144,1.274654,1.357889,1.434610,1.503661,1.563994,1.614684,1.654949,1.684165,1.701880,1.707815
0.35,259.0683,252.1237,232.6207,204.0825,171.0655,137.8801,107.7026,82.27676,62.09240,46.79316,35.59527,27.60104,21.98224,18.05892,15.31253,13.36655,11.95632,10.89955,10.07203,9.389525,8.795101,8.250501,7.730489,7.219094,6.707089,6.190254,5.668093,5.142849,4.618709,4.101136,3.596315,3.110670,2.650478,2.221554,1.828998,1.477016,1.168803,9.064747E-1,6.910473E-1,5.224618E-1,3.996394E-1,3.205655E-1,2.823945E-1,2.815705E-1,3.139582E-1,3.749784E-1,4.597459E-1,5.632037E-1,6.802526E-1,8.058719E-1,9.352282E-1,1.063775,1.187337,1.302180,1.405063,1.493286,1.564706,1.617757,1.651443,1.665321,1.659482,1.634508,1.591427,1.531667,1.456990,1.369434,1.271251,1.164836,1.052667,9.372400E-1,8.210086E-1,7.063308E-1,5.954173E-1,4.902882E-1,3.927353E-1,3.042921E-1,2.262114E-1,1.594498E-1,1.046605E-1,6.219305E-2,3.209980E-2,1.414943E-2,7.845893E-3,1.245262E-2,2.702118E-2,5.042332E-2,8.138584E-2,1.185270E-1,1.603939E-1,2.054999E-1,2.523608E-1,2.995296E-1,3.456293E-1,3.893815E-1,4.296326E-1,4.653754E-1,4.957664E-1,5.201387E-1,5.380098E-1,5.490852E-1,5.532570E-1,5.505983E-1,5.413535E-1,5.259247E-1,5.048550E-1,4.788086E-1,4.485497E-1,4.149186E-1,3.788072E-1,3.411346E-1,3.028221E-1,2.647696E-1,2.278330E-1,1.928036E-1,1.603895E-1,1.312004E-1,1.057343E-1,8.436842E-2,6.735281E-2,5.480788E-2,4.672498E-2,4.297054E-2,4.329337E-2,4.733484E-2,5.464173E-2,6.468129E-2,7.685832E-2,9.053349E-2,1.050427E-1,1.197170E-1,1.339023E-1,1.469786E-1,1.583781E-1,1.676028E-1,1.742385E-1,1.779682E-1,1.785826E-1,1.759870E-1,1.702069E-1,1.613887E-1,1.497988E-1,1.358190E-1,1.199391E-1,1.027464E-1,8.491344E-2,6.718233E-2,5.034823E-2,3.524063E-2,2.270379E-2,1.357629E-2,8.670541E-3,8.752344E-3,1.452137E-2,2.659249E-2,4.547893E-2,7.157714E-2,1.051542E-1,1.463375E-1,1.951077E-1,2.512941E-1,3.145741E-1,3.844743E-1,4.603767E-1,5.415263E-1,6.270429E-1,7.159345E-1,8.071143E-1,8.994189E-1,9.916287E-1,1.082490,1.170736,1.255114,1.334404,1.407441,1.473143,1.530523,1.578716,1.616987,1.644751,1.661583,1.667222
0.4,281.6527,273.3884,250.3596,217.1621,179.5484,142.6804,110.0583,83.31353,62.60533,47.22222,36.10814,28.20244,22.60455,18.62012,15.74520,13.62753,12.02591,10.77645,9.767557,8.922668,8.188878,7.529531,6.919513,6.342118,5.786916,5.248218,4.723895,4.214429,3.722118,3.250426,2.803424,2.385345,2.000218,1.651593,1.342337,1.074502,8.492474E-1,6.668173E-1,5.265558E-1,4.269576E-1,3.657452E-1,3.399653E-1,3.460988E-1,3.801788E-1,4.379127E-1,5.148037E-1,6.062685E-1,7.077492E-1,8.148163E-1,9.232613E-1,1.029178,1.129030,1.219709,1.298575,1.363482,1.412801,1.445419,1.460729,1.458615,1.439424,1.403923,1.353261,1.288916,1.212643,1.126413,1.032359,9.327103E-1,8.297420E-1,7.257134E-1,6.228179E-1,5.231337E-1,4.285813E-1,3.408850E-1,2.615425E-1,1.917997E-1,1.326328E-1,8.473794E-2,4.852686E-2,2.412937E-2,1.140229E-2,9.943993E-3,1.911420E-2,3.805832E-2,6.573560E-2,1.009503E-1,1.423853E-1,1.886365E-1,2.382487E-1,2.897506E-1,3.416887E-1,3.926602E-1,4.413430E-1,4.865222E-1,5.271151E-1,5.621894E-1,5.909802E-1,6.129007E-1,6.275490E-1,6.347108E-1,6.343572E-1,6.266386E-1,6.118746E-1,5.905404E-1,5.632499E-1,5.307367E-1,4.938320E-1,4.534418E-1,4.105227E-1,3.660575E-1,3.210303E-1,2.764033E-1,2.330942E-1,1.919550E-1,1.537540E-1,1.191594E-1,8.872600E-2,6.288512E-2,4.193770E-2,2.605070E-2,1.525689E-2,9.457882E-3,8.430381E-3,1.183537E-2,1.922993E-2,3.008150E-2,4.378407E-2,5.967594E-2,7.705862E-2,9.521661E-2,1.134369E-1,1.310286E-1,1.473420E-1,1.617858E-1,1.738438E-1,1.830879E-1,1.891917E-1,1.919385E-1,1.912284E-1,1.870821E-1,1.796420E-1,1.691693E-1,1.560399E-1,1.407358E-1,1.238348E-1,1.059979E-1,8.795380E-2,7.048268E-2,5.439771E-2,4.052601E-2,2.968890E-2,2.268212E-2,2.025621E-2,2.309771E-2,3.181150E-2,4.690470E-2,6.877242E-2,9.768577E-2,1.337824E-1,1.770596E-1,2.273706E-1,2.844235E-1,3.477832E-1,4.168769E-1,4.910019E-1,5.693364E-1,6.509523E-1,7.348319E-1,8.198849E-1,9.049673E-1,9.889024E-1,1.070503,1.148590,1.222020,1.289699,1.350611,1.403830,1.448541,1.484056,1.509826,1.525451,1.530686
0.45,301.8519,292.2273,265.6139,227.8086,185.8348,145.6713,111.0327,83.33268,62.34628,47.00987,36.03016,28.22495,22.65342,18.62504,15.65690,13.41990,11.69164,10.32112,9.204445,8.269012,7.463421,6.751142,6.106420,5.511562,4.954961,4.429641,3.932092,3.461303,3.017966,2.603826,2.221144,1.872283,1.559380,1.284117,1.047569,8.501068E-1,6.913678E-1,5.702597E-1,4.850028E-1,4.331975E-1,4.119099E-1,4.177686E-1,4.470696E-1,4.958825E-1,5.601557E-1,6.358172E-1,7.188688E-1,8.054722E-1,8.920254E-1,9.752279E-1,1.052135,1.120198,1.177302,1.221776,1.252408,1.268439,1.269553,1.255855,1.227842,1.186368,1.132603,1.067982,9.941616E-1,9.129678E-1,8.263401E-1,7.362821E-1,6.448098E-1,5.539034E-1,4.654618E-1,3.812613E-1,3.029194E-1,2.318630E-1,1.693037E-1,1.162170E-1,7.333000E-2,4.111339E-2,1.978043E-2,9.291453E-3,9.363892E-3,1.948736E-2,3.894320E-2,6.682796E-2,1.020801E-1,1.435094E-1,1.898279E-1,2.396818E-1,2.916848E-1,3.444494E-1,3.966180E-1,4.468930E-1,4.940631E-1,5.370277E-1,5.748183E-1,6.066156E-1,6.317632E-1,6.497769E-1,6.603507E-1,6.633575E-1,6.588462E-1,6.470362E-1,6.283060E-1,6.031806E-1,5.723146E-1,5.364737E-1,4.965141E-1,4.533600E-1,4.079805E-1,3.613663E-1,3.145061E-1,2.683640E-1,2.238578E-1,1.818390E-1,1.430749E-1,1.082329E-1,7.786766E-2,5.241090E-2,3.216443E-2,1.729641E-2,7.840682E-3,3.699244E-3,4.647865E-3,1.034445E-2,2.034015E-2,3.409267E-2,5.098164E-2,7.032572E-2,9.140071E-2,1.134585E-1,1.357470E-1,1.575284E-1,1.780986E-1,1.968051E-1,2.130630E-1,2.263703E-1,2.363201E-1,2.426113E-1,2.450566E-1,2.435876E-1,2.382574E-1,2.292398E-1,2.168265E-1,2.014208E-1,1.835294E-1,1.637509E-1,1.427627E-1,1.213064E-1,1.001704E-1,8.017240E-2,6.214079E-2,4.689535E-2,3.522816E-2,2.788503E-2,2.554746E-2,2.881593E-2,3.819479E-2,5.407898E-2,7.674289E-2,1.063317E-1,1.428551E-1,1.861844E-1,2.360513E-1,2.920509E-1,3.536467E-1,4.201779E-1,4.908709E-1,5.648510E-1,6.411585E-1,7.187647E-1,7.965907E-1,8.735266E-1,9.484517E-1,1.020255,1.087858,1.150230,1.206411,1.255531,1.296820,1.329632,1.353447,1.367889,1.372729
0.5,319.8420,308.8258,278.5962,236.2713,190.2017,147.1283,110.8682,82.52650,61.46238,46.27721,35.47837,27.79761,22.27692,18.23992,15.22621,12.92677,11.13348,9.704025,8.539060,7.567857,6.739416,6.016862,5.373787,4.791699,4.258133,3.765163,3.308244,2.885197,2.495434,2.139309,1.817619,1.531223,1.280767,1.066495,8.881383E-1,7.448651E-1,6.352710E-1,5.574098E-1,5.088498E-1,4.867457E-1,4.879235E-1,5.089710E-1,5.463288E-1,5.963794E-1,6.555336E-1,7.203068E-1,7.873959E-1,8.537281E-1,9.165273E-1,9.733472E-1,1.022106,1.061108,1.089055,1.105050,1.108590,1.099553,1.078173,1.045017,1.000949,9.470902E-1,8.847808E-1,8.155329E-1,7.409874E-1,6.628670E-1,5.829310E-1,5.029318E-1,4.245727E-1,3.494700E-1,2.791179E-1,2.148581E-1,1.578541E-1,1.090701E-1,6.925629E-2,3.893822E-2,1.841249E-2,7.747348E-3,6.788411E-3,1.516910E-2,3.232545E-2,5.751473E-2,8.983744E-2,1.282620E-1,1.716516E-1,2.187924E-1,2.684226E-1,3.192621E-1,3.700405E-1,4.195256E-1,4.665488E-1,5.100297E-1,5.489968E-1,5.826062E-1,6.101565E-1,6.311007E-1,6.450532E-1,6.517951E-1,6.512737E-1,6.435995E-1,6.290394E-1,6.080073E-1,5.810503E-1,5.488336E-1,5.121227E-1,4.717640E-1,4.286637E-1,3.837664E-1,3.380327E-1,2.924179E-1,2.478501E-1,2.052103E-1,1.653138E-1,1.288929E-1,9.658247E-2,6.890756E-2,4.627392E-2,2.896125E-2,1.711940E-2,1.076759E-2,9.796562E-3,1.397362E-2,2.295032E-2,3.627275E-2,5.339405E-2,7.368862E-2,9.646848E-2,1.210002E-1,1.465234E-1,1.722691E-1,1.974781E-1,2.214196E-1,2.434085E-1,2.628218E-1,2.791132E-1,2.918264E-1,3.006057E-1,3.052053E-1,3.054945E-1,3.014620E-1,2.932168E-1,2.809860E-1,2.651102E-1,2.460374E-1,2.243127E-1,2.005670E-1,1.755040E-1,1.498841E-1,1.245086E-1,1.002021E-1,7.779411E-2,5.810078E-2,4.190666E-2,2.994717E-2,2.289149E-2,2.132704E-2,2.574552E-2,3.653062E-2,5.394801E-2,7.813755E-2,1.091082E-1,1.467350E-1,1.907594E-1,2.407920E-1,2.963181E-1,3.567043E-1,4.212111E-1,4.890024E-1,5.591634E-1,6.307137E-1,7.026264E-1,7.738461E-1,8.433084E-1,9.099591E-1,9.727735E-1,1.030776,1.083057,1.128791,1.167251,1.197825,1.220021,1.233483,1.237994
