Crystal Size,ppm,Beam size,Beam ratio,DWD,DE
8,2.5,8.0,1,140.974975,54220895.782118
12,1.6666666666666665,12.0,1,62.142198,200366671.119648
15,1.3333333333333333,15.0,1,40.400599,339932309.270566
18,1.1111111111111112,18.0,1,28.056194,587489690.146742
25,0.8,25.0,1,14.423403,1662000720.953874
30,0.6666666666666666,30.0,1,9.930599,3123441983.339276
40,0.5,40.0,1,5.629969,6808099039.966511
