Crystal,DWD,DE
2,32.264021,51304930.37175
5,12.474831,343619327.150982
10,6.236071,1374521974.10303
20,3.186678,5561064930.12103
50,1.272135,34853302043.5963
100,0.635253,139375213473.90723
