RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
1.0,0.0,0.015828093801119165,0.9955,0.9955814213211605,0.9986379378729097,0.999316105415444,0.9995805784232907,0.9986379378729097
2.0,0.0,0.03399408748958792,0.9955,0.9905342505730661,0.9970769777234062,0.9985317721133333,0.9990994226876582,0.9970769777234062
3.0,0.0,0.052079093423081806,0.9955,0.9855349974840254,0.9955254002902063,0.9977515470210727,0.9986206421053705,0.9955254002902063
4.0,0.0,0.0702576881105253,0.9955,0.9805353009161177,0.9939682267603583,0.9969678986995991,0.9981396150854006,0.9939682267603583
5.0,0.0,0.08751386877643179,0.9955,0.9758127658005686,0.9924923204641223,0.996224583520946,0.9976832105973787,0.9924923204641223
6.0,0.0,0.10577838833135816,0.9955,0.9708390516468759,0.9909325590872242,0.9954384375517895,0.9972003641411009,0.9909325590872242
7.0,0.0,0.12335753363157395,0.9955,0.9660759190547209,0.9894336426540409,0.9946823775222009,0.9967358571440195,0.9894336426540409
8.0,0.0,0.14140676558740312,0.9955,0.9612097283425586,0.9878970024973529,0.9939066970554105,0.996259153821181,0.9878970024973529
9.0,0.0,0.15919196385685,0.9955,0.9564386995369019,0.9863851755098627,0.9931429553423228,0.9957896469784424,0.9863851755098627
10.0,0.0,0.17739976040723202,0.9955,0.951578836279633,0.9848398223540654,0.9923616741394808,0.9953092132854098,0.9848398223540654
11.0,0.0,0.19551336103527373,0.9955,0.9467686178516728,0.9833048662335492,0.9915850446586236,0.9948314950573587,0.9833048662335492
12.0,0.0,0.21377580783127767,0.9955,0.9419434878620957,0.9817597187275012,0.9908026486323803,0.9943500833655574,0.9817597187275012
13.0,0.0,0.23167910627551547,0.9955,0.9372371196693574,0.9802473149006837,0.990036238416754,0.9938783652265906,0.9802473149006837
14.0,0.0,0.24951132279097962,0.9955,0.9325728126947453,0.9787432318201911,0.9892734604112166,0.9934087424138733,0.9787432318201911
15.0,0.0,0.26713672287418655,0.9955,0.9279854127557462,0.9772588608305297,0.9885201065391122,0.9929447843028993,0.9772588608305297
16.0,0.0,0.28544272913868257,0.9955,0.9232447581796583,0.9757195539793988,0.9877382691967935,0.9924631398102609,0.9757195539793988
17.0,0.0,0.303546306821707,0.9955,0.9185803440304733,0.9741996533965573,0.9869656855955428,0.9919870511317184,0.9741996533965573
18.0,0.0,0.3220556285660318,0.9955,0.9138357520858552,0.9726481359858259,0.9861764113243954,0.9915005282941738,0.9726481359858259
19.0,0.0,0.3402848422210096,0.9955,0.9091869153173813,0.9711225134042737,0.9853996983467896,0.9910216014059919,0.9711225134042737
20.0,0.0,0.3585558433519971,0.9955,0.9045511525606911,0.9695957947920159,0.9846218187265401,0.9905418087898231,0.9695957947920159
21.0,0.0,0.37620213748352677,0.9955,0.900096331675358,0.968123555010398,0.9838711186577269,0.9900786413573042,0.968123555010398
22.0,0.0,0.39415436020153544,0.9955,0.8955867916033645,0.9666280853490461,0.9831079912434809,0.9896076663642634,0.9666280853490461
23.0,0.0,0.41200877473032843,0.9955,0.8911242296149288,0.965143054607789,0.9823496086204216,0.9891394795733172,0.965143054607789
24.0,0.0,0.430272266962099,0.9955,0.8865824274498455,0.9636263594943258,0.9815744553294784,0.9886607949264965,0.9636263594943258
25.0,0.0,0.44833062405943314,0.9955,0.8821143988492367,0.9621290433178942,0.9808086099366787,0.98818771462187,0.9621290433178942
