Beam Energy,DWD,DiffractionEfficiency
5.4,11.356588,39969778846.86461
8,5.603977,58848015279.496216
10,3.560404,71913664903.32018
12.4,2.256397,86205894335.94666
15,1.493907,100124042543.78531
17.5,1.066937,112058010738.58536
20,0.797405,122599923853.7552
22.2,0.636311,130709483063.31046
25,0.49429,139386726508.98596
30,0.341205,149976295629.6824
35,0.256771,153838013972.44424
40,0.20798,150996767281.6309
50,0.163479,129643982607.19238
60,0.153092,99550267752.99438
