pe_escape,xstal x,xstal y,xstal z,xstal area,xstal volume,beam energy,beam x,beam y,beam area,area ratio,ppm
FALSE,30,50,50,1500.0,75000.0,20,50,50,2500.0,0.6,0.10000000000000003

FALSE,0.5,0.5,0.5,0.25,0.125,5.0,0.5,0.5,0.25,1.0,1.9999999999999996
