L2L3,0.810,0.0000000002,0.01286,3
L2M1,4.100,0.0040376800,0.63254,4
L2M3,1.860,0.0000091811,0.66710,6
L2M4,0.400,0.0014019900,0.72064,7
L2N1,0.400,0.0000827386,0.72602,9
