KL1L1,2.670,0.07128,1.75610,1,1
KL1L2,1.640,0.07701,1.80411,2,1
KL1L3,1.640,0.14953,1.80507,3,1
KL1M1,1.570,0.01430,1.92604,4,1
KL1M2,1.570,0.00309,1.93487,5,1
KL1M3,1.570,0.00600,1.93492,6,1
KL2L2,0.610,0.01358,1.85212,2,2
KL2L3,0.610,0.34447,1.85308,3,2
KL2M1,0.540,0.00688,1.97405,4,2
KL2M2,0.540,0.00105,1.98288,5,2
KL2M3,0.540,0.01252,1.98293,6,2
KL3L3,0.610,0.19606,1.85404,3,3
KL3M1,0.540,0.01337,1.97501,4,3
KL3M2,0.540,0.01250,1.98384,5,3
KL3M3,0.540,0.01439,1.98389,6,3
KM1M1,0.470,0.00071,2.09598,4,4
KM1M2,0.470,0.00028,2.10481,5,4
KM1M3,0.470,0.00053,2.10486,6,4
KM2M2,0.470,0.00002,2.11364,5,5
KM2M3,0.470,0.00037,2.11369,6,5
KM3M3,0.470,0.00021,2.11374,6,6
