KL1L1,14.190,0.04068,6.28980,1
KL1L2,8.770,0.04518,6.41132,2
KL1L3,8.320,0.08110,6.42928,3
KL1M1,10.090,0.01099,7.17766,4
KL1M2,9.090,0.00589,7.21582,5
KL1M3,9.090,0.01050,7.21809,6
KL1M4,7.790,0.00025,7.28138,7
KL1M5,7.790,0.00034,7.28164,8
KL1N1,7.790,0.00090,7.28821,9
KL2L2,3.350,0.00805,6.53284,2
KL2L3,2.900,0.19146,6.55080,3
KL2M1,4.670,0.00519,7.29918,4
KL2M2,3.670,0.00197,7.33734,5
KL2M3,3.670,0.02141,7.33961,6
KL2M4,2.370,0.00034,7.40290,7
KL2M5,2.370,0.00126,7.40316,8
KL2N1,2.370,0.00042,7.40973,9
KL3L3,2.450,0.10618,6.56876,3
KL3M1,4.220,0.00935,7.31714,4
KL3M2,3.220,0.02142,7.35530,5
KL3M3,3.220,0.02413,7.35757,6
KL3M4,1.920,0.00156,7.42086,7
KL3M5,1.920,0.00153,7.42112,8
KL3N1,1.920,0.00075,7.42769,9
KM1M1,5.990,0.00076,8.06552,4
KM1M2,4.990,0.00070,8.10368,5
KM1M3,4.990,0.00126,8.10595,6
KM1M4,3.690,0.00003,8.16924,7
KM1M5,3.690,0.00004,8.16950,8
KM1N1,3.690,0.00013,8.17607,9
KM2M2,3.990,0.00012,8.14184,5
KM2M3,3.990,0.00258,8.14411,6
KM2M4,2.690,0.00003,8.20740,7
KM2M5,2.690,0.00012,8.20766,8
KM2N1,2.690,0.00006,8.21423,9
KM3M3,3.990,0.00152,8.14638,6
KM3M4,2.690,0.00016,8.20967,7
KM3M5,2.690,0.00015,8.20993,8
KM3N1,2.690,0.00011,8.21650,9
KM4M5,1.390,0.00001,8.27322,8
KM4N1,1.390,0.00000,8.27979,9
KM5M5,1.390,0.00000,8.27348,8
KM5N1,1.390,0.00000,8.28005,9
