L3M1M1,5.270,0.00482,0.57291,4
L3M1M2,4.120,0.00333,0.60843,5
L3M1M3,4.140,0.09025,0.61034,6
L3M1M4,2.870,0.00429,0.66867,7
L3M1M5,2.870,0.00565,0.66888,8
L3M1N1,2.870,0.00071,0.67479,9
L3M2M2,2.970,0.00127,0.64395,5
L3M2M3,2.990,0.13698,0.64586,6
L3M2M4,1.720,0.00413,0.70419,7
L3M2M5,1.720,0.03974,0.70440,8
L3M2N1,1.720,0.00025,0.71031,9
L3M3M3,3.010,0.20225,0.64777,6
L3M3M4,1.740,0.09462,0.70610,7
L3M3M5,1.740,0.14182,0.70631,8
L3M3N1,1.740,0.00770,0.71222,9
L3M4M4,0.470,0.00703,0.76443,7
L3M4M5,0.470,0.14263,0.76464,8
L3M4N1,0.470,0.00040,0.77055,9
L3M5M5,0.470,0.10525,0.76485,8
L3M5N1,0.470,0.00058,0.77076,9
