L2L3N1,1.740,0.01915,0.01589,9,3
L2M1M1,5.260,0.00330,0.77564,4,4
L2M1M2,5.260,0.06144,0.81933,5,4
L2M1M3,5.310,0.00522,0.82248,6,4
L2M1M4,3.160,0.00292,0.89622,7,4
L2M1M5,3.160,0.00672,0.89661,8,4
L2M1N1,3.160,0.00044,0.90446,9,4
L2M2M2,5.260,0.05362,0.86302,5,5
L2M2M3,5.310,0.18335,0.86617,6,5
L2M2M4,3.160,0.06883,0.93991,7,5
L2M2M5,3.160,0.13043,0.94030,8,5
L2M2N1,3.160,0.00472,0.94815,9,5
L2M3M3,5.360,0.00511,0.86932,6,6
L2M3M4,3.210,0.08278,0.94306,7,6
L2M3M5,3.210,0.01212,0.94345,8,6
L2M3N1,3.210,0.00036,0.95130,9,6
L2M4M4,1.060,0.06072,1.01680,7,7
L2M4M5,1.060,0.27468,1.01719,8,7
L2M4N1,1.060,0.00023,1.02504,9,7
L2M5M5,1.060,0.01271,1.01758,8,8
L2M5N1,1.060,0.00049,1.02543,9,8
L2N1N1,1.060,0.00002,1.03328,9,9
