L2L3N1,1.650,0.00895,0.01393,9
L2M1M1,5.440,0.00363,0.71601,4
L2M1M2,5.140,0.06688,0.75677,5
L2M1M3,5.040,0.00562,0.75941,6
L2M1M4,3.240,0.00312,0.82718,7
L2M1M5,3.240,0.00684,0.82747,8
L2M1N1,3.240,0.00021,0.83016,9
L2M2M2,4.840,0.05775,0.79753,5
L2M2M3,4.740,0.19808,0.80017,6
L2M2M4,2.940,0.06925,0.86794,7
L2M2M5,2.940,0.13171,0.86823,8
L2M2N1,2.940,0.00227,0.87092,9
L2M3M3,4.640,0.00552,0.80281,6
L2M3M4,2.840,0.08269,0.87058,7
L2M3M5,2.840,0.01220,0.87087,8
L2M3N1,2.840,0.00017,0.87356,9
L2M4M4,1.040,0.05849,0.93835,7
L2M4M5,1.040,0.26502,0.93864,8
L2M4N1,1.040,0.00011,0.94133,9
L2M5M5,1.040,0.01204,0.93893,8
L2M5N1,1.040,0.00022,0.94162,9
