KL1L1,4.910,0.05896,2.84098,1
KL1L2,2.990,0.06480,2.91049,2
KL1L3,2.990,0.12363,2.91350,3
KL1M1,2.950,0.01411,3.17164,4
KL1M2,2.810,0.00689,3.18839,5
KL1M3,2.810,0.01312,3.18867,6
KL1N1,2.810,0.00069,3.20792,9
KL2L2,1.070,0.01168,2.98000,2
KL2L3,1.070,0.28964,2.98301,3
KL2M1,1.030,0.00675,3.24115,4
KL2M2,0.890,0.00238,3.25790,5
KL2M3,0.890,0.02729,3.25818,6
KL2N1,0.890,0.00033,3.27743,9
KL3L3,1.070,0.16393,2.98602,3
KL3M1,1.030,0.01292,3.24416,4
KL3M2,0.890,0.02726,3.26091,5
KL3M3,0.890,0.03126,3.26119,6
KL3N1,0.890,0.00062,3.28044,9
KM1M1,0.990,0.00083,3.50230,4
KM1M2,0.850,0.00072,3.51905,5
KM1M3,0.850,0.00138,3.51933,6
KM1N1,0.850,0.00008,3.53858,9
KM2M2,0.710,0.00012,3.53580,5
KM2M3,0.710,0.00258,3.53608,6
KM2N1,0.710,0.00004,3.55533,9
KM3M3,0.710,0.00149,3.53636,6
KM3N1,0.710,0.00007,3.55561,9
