L1L2M2,4.67,0.0521984,0.04137,5
L1L2M3,4.62,0.0721802,0.04296,6
L1L2M4,3.16,0.0409703,0.0965,7
L1L2M5,3.16,0.0668427,0.09667,8
L1L2N1,3.16,0.00619976,0.10188,9
L1L3M1,6.87,0.133635,0.02126,4
L1L3M2,4.68,0.0647652,0.05423,5
L1L3M3,4.63,0.14531,0.05582,6
L1L3M4,3.17,0.0968238,0.10936,7
L1L3M5,3.17,0.137175,0.10953,8
L1L3N1,3.17,0.013749,0.11474,9
L1M1M1,10.16,0.0142253,0.64094,4
L1M1M2,7.97,0.0256412,0.67391,5
L1M1M3,7.92,0.0502067,0.6755,6
L1M1M4,6.46,0.0157957,0.72904,7
L1M1M5,6.46,0.023306,0.72921,8
L1M1N1,6.46,0.00224577,0.73442,9
L1M2M2,5.78,0.000409652,0.70688,5
L1M2M3,5.73,0.000668243,0.70847,6
L1M2M4,4.27,0.000232428,0.76201,7
L1M2M5,4.27,0.00440741,0.76201,8
L1M2N1,4.27,0.00177081,0.76739,9
L1M3M3,5.68,0.0011781,0.71006,6
L1M3M4,4.22,0.00446042,0.7636,7
L1M3M5,4.22,0.00323254,0.76377,8
L1M3N1,4.22,0.00328901,0.76898,9
L1M4M4,2.76,0.000258444,0.81714,7
L1M4M5,2.76,0.0135249,0.81731,8
L1M4N1,2.76,0.00110876,0.82252,9
L1M5M5,2.76,0.00353869,0.81748,8
L1M5N1,2.76,0.00155434,0.82269,9
