L1L2M1,3.810,0.12694,0.02191,4,2
L1L2M2,3.910,0.07730,0.04106,5,2
L1L2M3,3.910,0.09330,0.04147,6,2
L1L2N1,2.710,0.01426,0.06962,9,2
L1L3M1,3.810,0.25369,0.02575,4,3
L1L3M2,3.910,0.08927,0.04490,5,3
L1L3M3,3.910,0.22498,0.04531,6,3
L1L3N1,2.710,0.02737,0.07346,9,3
L1M1M1,4.700,0.01312,0.32779,4,4
L1M1M2,4.800,0.02288,0.34694,5,4
L1M1M3,4.800,0.04522,0.34735,6,4
L1M1N1,3.600,0.00269,0.37550,9,4
L1M2M2,4.900,0.00052,0.36609,5,5
L1M2M3,4.900,0.00027,0.36650,6,5
L1M2N1,3.700,0.00205,0.39465,9,5
L1M3M3,4.900,0.00123,0.36691,6,6
L1M3N1,3.700,0.00404,0.39506,9,6
