L3M1M1,7.81,0.0054761,0.51867,4,4
L3M1M2,5.62,0.00375614,0.55164,5,4
L3M1M3,5.57,0.10256,0.55323,6,4
L3M1M4,4.11,0.0040912,0.60677,7,4
L3M1M5,4.11,0.0056027,0.60694,8,4
L3M1N1,4.11,0.000834691,0.61215,9,4
L3M2M2,3.43,0.00143545,0.58461,5,5
L3M2M3,3.38,0.155075,0.5862,6,5
L3M2M4,1.92,0.00386376,0.63974,7,5
L3M2M5,1.92,0.0374865,0.63991,8,5
L3M2N1,1.92,0.000290883,0.64512,9,5
L3M3M3,3.33,0.229412,0.58779,6,6
L3M3M4,1.87,0.0902988,0.64133,7,6
L3M3M5,1.87,0.134973,0.6415,8,6
L3M3N1,1.87,0.00909931,0.64671,9,6
L3M4M4,0.41,0.00593307,0.69487,7,7
L3M4M5,0.41,0.120726,0.69504,8,7
L3M4N1,0.41,0.000431648,0.70025,9,7
L3M5M5,0.41,0.0828033,0.69521,8,8
L3M5N1,0.41,0.000604329,0.70042,9,8
