L3M1M1,5.160,0.00621,0.46706,4,4
L3M1M2,3.960,0.00422,0.49755,5,4
L3M1M3,3.960,0.11635,0.49886,6,4
L3M1M4,2.760,0.00379,0.54779,7,4
L3M1M5,2.760,0.00541,0.54792,8,4
L3M1N1,2.760,0.00099,0.55239,9,4
L3M2M2,2.760,0.00162,0.52804,5,5
L3M2M3,2.760,0.17462,0.52935,6,5
L3M2M4,1.560,0.00348,0.57828,7,5
L3M2M5,1.560,0.03408,0.57841,8,5
L3M2N1,1.560,0.00034,0.58288,9,5
L3M3M3,2.760,0.25965,0.53066,6,6
L3M3M4,1.560,0.08350,0.57959,7,6
L3M3M5,1.560,0.12436,0.57972,8,6
L3M3N1,1.560,0.01075,0.58419,9,6
L3M4M4,0.360,0.00487,0.62852,7,7
L3M4M5,0.360,0.09930,0.62865,8,7
L3M4N1,0.360,0.00048,0.63312,9,7
L3M5M5,0.360,0.06105,0.62878,8,8
L3M5N1,0.360,0.00062,0.63325,9,8
