L2L3N1,1.510,0.01367,0.00987,9,3
L2M1M1,5.580,0.00413,0.64770,4,4
L2M1M2,4.580,0.07629,0.68586,5,4
L2M1M3,4.580,0.00634,0.68813,6,4
L2M1M4,3.280,0.00311,0.75142,7,4
L2M1M5,3.280,0.00642,0.75168,8,4
L2M1N1,3.280,0.00058,0.75825,9,4
L2M2M2,3.580,0.06592,0.72402,5,5
L2M2M3,3.580,0.22713,0.72629,6,5
L2M2M4,2.280,0.06579,0.78958,7,5
L2M2M5,2.280,0.12600,0.78984,8,5
L2M2N1,2.280,0.00629,0.79641,9,5
L2M3M3,3.580,0.00632,0.72856,6,6
L2M3M4,2.280,0.07812,0.79185,7,6
L2M3M5,2.280,0.01162,0.79211,8,6
L2M3N1,2.280,0.00047,0.79868,9,6
L2M4M4,0.980,0.05118,0.85514,7,7
L2M4M5,0.980,0.23264,0.85540,8,7
L2M4N1,0.980,0.00030,0.86197,9,7
L2M5M5,0.980,0.00938,0.85566,8,8
L2M5N1,0.980,0.00050,0.86223,9,8
