L3M1M1,4.880,0.00341,0.75114,4,4
L3M1M2,4.880,0.00241,0.79483,5,4
L3M1M3,4.930,0.06389,0.79798,6,4
L3M1M4,2.780,0.00458,0.87172,7,4
L3M1M5,2.780,0.00548,0.87211,8,4
L3M1N1,2.780,0.00045,0.87996,9,4
L3M2M2,4.880,0.00091,0.83852,5,5
L3M2M3,4.930,0.09797,0.84167,6,5
L3M2M4,2.780,0.00458,0.91541,7,5
L3M2M5,2.780,0.04346,0.91580,8,5
L3M2N1,2.780,0.00016,0.92365,9,5
L3M3M3,4.980,0.14365,0.84482,6,6
L3M3M4,2.830,0.10108,0.91856,7,6
L3M3M5,2.830,0.15220,0.91895,8,6
L3M3N1,2.830,0.00488,0.92680,9,6
L3M4M4,0.680,0.01034,0.99230,7,7
L3M4M5,0.680,0.20868,0.99269,8,7
L3M4N1,0.680,0.00033,1.00054,9,7
L3M5M5,0.680,0.14086,0.99308,8,8
L3M5N1,0.680,0.00041,1.00093,9,8
L3N1N1,0.680,0.00002,1.00878,9,9
