L1L2M2,7.960,0.04727,0.04016,5,2
L1L2M3,8.010,0.06810,0.04331,6,2
L1L2M4,5.860,0.04638,0.11705,7,2
L1L2M5,5.860,0.07447,0.11744,8,2
L1L2N1,5.860,0.00445,0.12529,9,2
L1L3M1,7.580,0.09860,0.02097,4,3
L1L3M2,7.580,0.05791,0.06466,5,3
L1L3M3,7.630,0.12358,0.06781,6,3
L1L3M4,5.480,0.11628,0.14155,7,3
L1L3M5,5.480,0.16536,0.14194,8,3
L1L3N1,5.480,0.00783,0.14979,9,3
L1M1M1,9.000,0.01040,0.90954,4,4
L1M1M2,9.000,0.01901,0.95323,5,4
L1M1M3,9.050,0.03689,0.95638,6,4
L1M1M4,6.900,0.02101,1.03012,7,4
L1M1M5,6.900,0.03078,1.03051,8,4
L1M1N1,6.900,0.00143,1.03836,9,4
L1M2M2,9.000,0.00026,0.99692,5,5
L1M2M3,9.050,0.00065,1.00007,6,5
L1M2M4,6.900,0.00032,1.07381,7,5
L1M2M5,6.900,0.00640,1.07420,8,5
L1M2N1,6.900,0.00117,1.08205,9,5
L1M3M3,9.100,0.00096,1.00322,6,6
L1M3M4,6.950,0.00685,1.07696,7,6
L1M3M5,6.950,0.00488,1.07735,8,6
L1M3N1,6.950,0.00237,1.08520,9,6
L1M4M4,4.800,0.00064,1.15070,7,7
L1M4M5,4.800,0.03179,1.15109,8,7
L1M4N1,4.800,0.00121,1.15894,9,7
L1M5M5,4.800,0.00890,1.15148,8,8
L1M5N1,4.800,0.00180,1.15933,9,8
L1N1N1,4.800,0.00005,1.16718,9,9
