11	NA	1.072000E+00	0.000000E+00		1.267770E+01	-2.245210E+00	-2.748730E-01	2.502700E-02	1.023550E+01	-2.559050E+00	-1.195240E-01	0.000000E+00									9.700000E-01	3.819000E+01	2.299700E+01	4.263740E+00	1.346620E-01	-3.700800E-01	2.144670E-02	-9.677170E-01	1.617940E+00	-2.871910E-01	1.315260E-02	1.041000E+00	1.067000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.998586E-02	1.160193E-04	0.000000E+00	0.000000E+00	1.190000E+01	0.000000E+00	0.000000E+00	0.000000E+00	1.041000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.718910E-04	1.549300E-04	1.159330E-04	9.656740E-05	8.506360E-05	7.748550E-05	1.490000E+02	6.448000E-02							
12	MG	1.305000E+00	6.300000E-02		1.287930E+01	-2.125740E+00	-2.993920E-01	2.676430E-02	1.059730E+01	-2.898180E+00	2.345060E-01	0.000000E+00									1.740000E+00	4.038000E+01	2.432000E+01	4.394040E+00	1.378580E-01	-3.595400E-01	2.023800E-02	-5.716110E-01	1.354980E+00	-2.224910E-01	8.301410E-03	1.254000E+00	1.297000E+00	0.000000E+00	0.000000E+00	4.960000E-02	4.920000E-02	0.000000E+00	2.769217E-02	1.783460E-04	3.411390E-06	3.179590E-06	1.210000E+01	0.000000E+00	0.000000E+00	0.000000E+00	1.255000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00														1.560000E+02	8.946000E-02							
13	AL	1.560000E+00	8.700000E-02		1.317380E+01	-2.182030E+00	-2.589600E-01	2.228400E-02	1.087110E+01	-2.778600E+00	1.758530E-01	0.000000E+00									2.720000E+00	4.478000E+01	2.697000E+01	4.159950E+00	1.405490E-01	-3.524410E-01	1.936920E-02	-4.393220E-01	1.308670E+00	-2.116480E-01	7.542100E-03	1.487000E+00	1.553000E+00	0.000000E+00	0.000000E+00	7.290000E-02	7.250000E-02	0.000000E+00	3.900000E-02	2.600000E-05	7.500000E-04	7.500000E-04	1.100000E+01	0.000000E+00	0.000000E+00	0.000000E+00	1.487000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.260000E+00	2.800000E+01	8.120000E-01	8.600000E-01	7.360000E+01	4.850000E-01	8.410000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.660000E+02	1.190500E-01							
14	SI	1.839000E+00	1.180000E-01		1.326820E+01	-1.981740E+00	-3.169500E-01	2.739280E-02	1.122370E+01	-2.736940E+00	1.275570E-01	0.000000E+00									2.330000E+00	4.663000E+01	2.808600E+01	4.646780E+00	1.627800E-01	-3.585630E-01	1.969260E-02	-4.149710E-01	1.348680E+00	-2.223150E-01	8.419590E-03	1.740000E+00	1.832000E+00	0.000000E+00	0.000000E+00	9.980000E-02	9.920000E-02	0.000000E+00	4.849715E-02	3.435067E-04	4.720183E-05	4.420850E-05	1.030000E+01	0.000000E+00	0.000000E+00	0.000000E+00	1.742000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.800000E+00	3.260000E+01	8.040000E-01	8.680000E-01	9.120000E+01	4.750000E-01	9.030000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.730000E+02	1.515500E-01	1.363000E-02						
15	P	2.149000E+00	1.530000E-01		1.337350E+01	-1.863420E+00	-3.394400E-01	2.888580E-02	1.155080E+01	-2.922000E+00	2.542620E-01	0.000000E+00									1.820000E+00	5.143000E+01	3.097500E+01	4.785250E+00	1.687080E-01	-3.603830E-01	1.971550E-02	-4.769030E-01	1.460320E+00	-2.513310E-01	1.072020E-02	2.015000E+00	2.136000E+00	0.000000E+00	0.000000E+00	1.360000E-01	1.350000E-01	0.000000E+00	6.185047E-02	4.370160E-04	1.073195E-04	1.007288E-04	1.190000E+01	0.000000E+00	0.000000E+00	0.000000E+00	2.020000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.641130E-04	3.231260E-04	2.422150E-04	2.019290E-04	1.779640E-04	1.621630E-04	1.730000E+02	1.871500E-01	1.721000E-02						
16	S	2.472000E+00	1.930000E-01	1.700000E-02	1.373940E+01	-2.047860E+00	-2.732590E-01	2.299760E-02	1.181810E+01	-2.646180E+00	-9.680490E-02	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.000000E+00	5.324000E+01	3.206600E+01	4.927070E+00	1.657460E-01	-3.594240E-01	1.955050E-02	-6.564190E-01	1.654080E+00	-2.986230E-01	1.429790E-02	2.308000E+00	2.464000E+00	0.000000E+00	0.000000E+00	1.636000E-01	1.625000E-01	0.000000E+00	7.729153E-02	5.312305E-04	2.074645E-04	1.951110E-04	9.630000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.314000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	6.020020E-04	3.454890E-04	2.591450E-04	2.161110E-04	1.904980E-04	1.736040E-04	1.800000E+02	2.259700E-01	2.095000E-02						
17	CL	2.822000E+00	2.380000E-01	1.700000E-02	1.361880E+01	-1.719370E+00	-3.541540E-01	2.908410E-02	1.200310E+01	-2.416940E+00	-2.408970E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.560000E+00	5.887000E+01	3.545700E+01	5.072220E+00	1.491270E-01	-3.528580E-01	1.894390E-02	-7.186270E-01	1.742940E+00	-3.194290E-01	1.584290E-02	2.622000E+00	2.815000E+00	0.000000E+00	0.000000E+00	2.020000E-01	2.000000E-01	0.000000E+00	9.486916E-02	6.221578E-04	3.586678E-04	3.379335E-04	9.310000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.634000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	6.317150E-04	3.633010E-04	2.726980E-04	2.274920E-04	2.005710E-04	1.828080E-04	1.800000E+02	2.680500E-01	2.484000E-02						
18	AR	3.202000E+00	2.870000E-01	2.700000E-02	1.394910E+01	-1.822760E+00	-3.288270E-01	2.743820E-02	1.229600E+01	-2.632790E+00	-7.366000E-02	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.784000E-03	6.632000E+01	3.994400E+01	5.210790E+00	1.356180E-01	-3.472140E-01	1.843330E-02	-6.821050E-01	1.742790E+00	-3.176460E-01	1.564670E-02	2.957000E+00	3.192000E+00	0.000000E+00	0.000000E+00	2.506000E-01	2.484000E-01	0.000000E+00	1.180000E-01	1.800000E-04	2.200000E-04	2.200000E-04	9.070000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.975000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	6.310000E+00	5.330000E+01	7.910000E-01	8.940000E-01	1.995000E+02	4.490000E-01	1.150000E+01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.880000E+02	3.134300E-01	2.930000E-02						
19	K	3.607000E+00	3.410000E-01	3.400000E-02	1.379760E+01	-1.540150E+00	-3.945280E-01	3.235610E-02	1.248780E+01	-2.536560E+00	-1.048920E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	8.620000E-01	6.493000E+01	3.910200E+01	5.255870E+00	1.880400E-01	-3.596230E-01	1.930850E-02	-3.440070E-01	1.492360E+00	-2.541350E-01	1.076840E-02	3.313000E+00	3.589000E+00	0.000000E+00	0.000000E+00	2.973000E-01	2.946000E-01	0.000000E+00	1.364192E-01	7.978900E-04	8.562865E-04	8.091673E-04	9.160000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.336000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00														1.900000E+02	3.711600E-01	3.480000E-02						
20	CA	4.038000E+00	4.000000E-01	4.400000E-02	1.429500E+01	-1.886440E+00	-2.836470E-01	2.262630E-02	1.270440E+01	-2.550110E+00	-9.431950E-02	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.550000E+00	6.655000E+01	4.008000E+01	5.323750E+00	2.066850E-01	-3.616640E-01	1.933280E-02	-9.824200E-02	1.328290E+00	-2.137470E-01	7.730650E-03	3.691000E+00	4.012000E+00	0.000000E+00	0.000000E+00	3.497000E-01	3.462000E-01	0.000000E+00	1.602786E-01	8.828273E-04	1.221948E-03	1.156072E-03	8.720000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.721000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	7.820000E+00	6.610000E+01	7.810000E-01	9.050000E-01	2.754000E+02	4.350000E-01	1.280000E+01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.910000E+02	4.341100E-01	4.43000E-02						
