1,0.07559437,0.458533707,0.281141306,-0.292437233,-0.513675132,0.537707243,0.032306512
2,23.25095209,-56.41128387,50.24764714,-18.80418856,1.916181537,0.510505819,0.041222482
2.5,29.1359635,-71.28040024,63.68008985,-23.97787158,2.701955897,0.457041881,0.042929211
3,35.7167787,-88.47836697,80.33537207,-31.32308755,4.180940818,0.331093518,0.051551562
4,47.20568236,-119.2634786,110.962055,-45.26145898,7.092348674,0.06676008,0.062135075
5,55.44971687,-141.6559701,133.7408467,-56.03862541,9.501941519,-0.171771626,0.070993436
5.0001,-1452.436488,1971.48068,-1066.762601,294.1862668,-43.77003596,3.465423241,0.002260348
6,-4490.746672,5220.663254,-2414.90632,565.4645752,-70.45156515,4.541153895,-0.004985983
7,-11556.67196,10973.65179,-4144.695336,798.3075446,-83.55038512,4.69473453,0.001378658
7.5,-10234.85519,9900.380114,-3843.827741,764.4296807,-82.15715466,4.647093492,0.003381709
9,-18364.4219,16708.04263,-5971.122485,1075.525435,-103.5387762,5.198628357,0.004915663
10,-132172.3102,84807.14921,-21505.46765,2756.784589,-190.4009307,7.032860551,-0.003269277
10.5,-73787.01725,51391.1968,-14287.4076,2027.812925,-155.7746089,6.324984363,0.001959642
11.25,-205356.1167,120671.039,-28454.95942,3434.658287,-224.3595232,7.743024866,-0.003952212
12.5,-243651.5878,135491.7166,-30302.98219,3488.833899,-219.5739519,7.395270267,0.001676737
13.75,-464143.7445,234337.2971,-47292.4783,4894.759391,-276.981033,8.397602302,-0.000421368
14.5,-760534.3864,358486.3696,-67372.34259,6453.815469,-334.7657862,9.230445158,-0.002222639
15,-458377.6676,228514.7934,-46193.82193,4837.768371,-277.7242779,8.46126723,0.001331925
16,-1053627.809,439985.0081,-74786.17326,6673.265407,-333.4962554,9.070843288,0.002205879
17.5,-1889395.944,735830.5523,-115273.2687,9342.371551,-418.6747934,10.17327423,0.000205373
18,-1982410.426,746973.5491,-114762.129,9273.634604,-420.2935743,10.3371708,-0.000333853
19,-897003.0859,430512.5156,-79818.86657,7432.797832,-371.2213971,9.643933251,0.005424393
20,-1415491.442,595855.5265,-100920.732,8777.803558,-413.5111671,10.16044242,0.004721849
22.5,-18756786.04,5210201.557,-572831.699,31973.49692,-969.4531864,15.82692999,-0.009282527
25,-11473611.87,3392725.948,-401752.3253,24410.27836,-809.1263918,14.2534803,-0.000564331
27.5,-39806134.46,9465107.773,-901521.5943,44205.49048,-1192.184329,17.3401843,-0.005068866
30,-23263413.65,6250086.194,-663987.1195,35807.48818,-1044.467425,16.07634008,0.001082811
32.5,-14861029.55,4800754.974,-580696.9819,34493.93534,-1077.200789,17.14509921,0.002553544
35,-28567298.54,7238758.63,-752394.8473,40584.44402,-1187.495506,17.92089829,0.003354963
37.5,-214751285,38670100.52,-2791420.01,103772.1344,-2126.478957,23.64941373,-0.004534028
40,-119287587.1,23798368.24,-1909517.15,79155.31458,-1803.002907,21.84019854,-0.000194346
45,-573043434.5,83143361.68,-4826517.242,145744.8387,-2507.153325,24.70069169,1.40E-05
50,-1297265987,175033528.2,-9389099.251,257585.0668,-3884.327019,31.95226495,-0.007248941
55,-715802324.6,98284168.74,-5647580.82,173335.2436,-2988.860782,27.73567398,0.001036207
60,-2025107824,241211036.3,-11640980.9,293738.6568,-4160.416236,32.41502508,-0.001005573
65,-1990681623,214727918.7,-9763219.276,244917.4967,-3625.036362,30.0924513,0.003434849
70,-3596429578,372120567.3,-15815460.84,358107.9352,-4655.947292,33.95981031,0.001415779
75,-8492651235,758089256.6,-27621777.36,536841.5358,-6052.413754,38.87601523,-0.001106936
85,-31915627978,2328559855,-68558095.32,1061253.907,-9434.878246,48.28125616,-0.003767727
90,-5504551401,624437086.2,-27316086.41,599177.4626,-7074.34212,43.72112203,-0.000693769
95,-22087849294,1736062167,-55887600.06,946451.8616,-9036.469808,47.86855622,-0.000774139
100,-11211741833,1122688756,-42769516.34,818822.374,-8523.29815,47.21957642,0.001066786
